Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Parsifal | Nova24TV | 2022-03-14 | 2022-02-17 | N | 712 | N/A | 0.1 | 31.0 | 3.8 | 4.2 | 10.2 | N/A | 4.2 | 2.4 | 1.1 | 0.7 | N/A | 1.6 | 0.1 | N/A | 7.2 | 2.3 | 25.8 | N/A | N/A | 3.0 | N/A | 0.4 | 2.0
Parsifal | Nova24TV | 2022-02-14 | 2022-02-16 | N | 712 | N/A | 0.1 | 31.1 | 8.5 | 6.1 | 10.3 | N/A | 3.9 | 1.8 | 2.3 | 0.7 | N/A | 2.2 | 1.1 | N/A | 4.5 | 3.8 | 17.9 | N/A | N/A | N/A | N/A | N/A | 5.8
Ninamedia | Dnvnk, PrmNvc, Svt24 and Včr | 2022-02-07 | 2022-02-10 | N | 1050 | N/A | 0.1 | 24.1 | 8.5 | 7.6 | 9.1 | N/A | 5.6 | 3.9 | 0.9 | 1.0 | N/A | 0.8 | 1.0 | N/A | 3.9 | 2.4 | 27.2 | N/A | N/A | N/A | N/A | N/A | 4
Mediana | Delo | 2022-02-07 | 2022-02-10 | N | 710 | N/A | 0.1 | 19.2 | 7.0 | 4.8 | 9.3 | N/A | 6.7 | 3.5 | 2.4 | 1.2 | N/A | 3.1 | 1.2 | N/A | 4.8 | 4.5 | 25.6 | N/A | N/A | N/A | N/A | N/A | 6.8
Mediana | RTV SLO | 2022-01-31 | 2022-02-03 | N | 1030 | N/A | 0.1 | 18.8 | 8.8 | 6.5 | 8.3 | N/A | 6.1 | 4.0 | 3.1 | 0.6 | N/A | 2.6 | 1.6 | N/A | 2.9 | 5.3 | 25.3 | N/A | N/A | N/A | N/A | N/A | 6.0
Mediana | RTV SLO | 2022-01-31 | 2022-02-03 | N | 1030 | N/A | 0.1 | 26.7 | 11.5 | 8.6 | 13.1 | N/A | 6.5 | 4.5 | 2.2 | 2.0 | 1.7 | 2.7 | 1.9 | 2.6 | N/A | N/A | N/A | N/A | 1.4 | N/A | N/A | N/A | 14.6
Parsifal | Planet TV | 2022-01-01 | 2022-01-30 | N | 720 | N/A | 0.1 | 28.3 | 7.2 | 4.8 | 10.1 | N/A | 6.8 | 3.1 | 3.5 | 1.7 | N/A | 1.7 | 1.5 | N/A | 6.0 | 3.5 | N/A | 20.3 | N/A | N/A | N/A | N/A | 1.5
Ninamedia | Dnvnk, PrmNvc, Svt24 and Včr | 2022-01-25 | 2022-01-27 | N | 1050 | N/A | 0.1 | 26.0 | 8.6 | 5.5 | 13.9 | N/A | 6.3 | 4.5 | 0.3 | 1.5 | N/A | 0.7 | 0.3 | N/A | 3.7 | 2.7 | N/A | 22.8 | N/A | N/A | N/A | N/A | 3.5
Mediana | POP TV | 2022-01-17 | 2022-01-19 | N | 658 | N/A | 0.1 | 25.3 | 11.8 | 9.8 | 17.5 | N/A | 7.1 | 6.7 | 5.6 | 1.9 | 1.6 | 2.5 | 1.6 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Ninamedia | Dnevnik and Večer | 2022-01-11 | 2022-01-14 | N | 1050 | N/A | 0.1 | 20.6 | 7.8 | 5.7 | 13.7 | N/A | 6.0 | 4.1 | 0.9 | 1.2 | 1.3 | 0.9 | 1.5 | 2.1 | N/A | 3.8 | N/A | 20.3 | 3.7 | N/A | N/A | N/A | 6.4
Ninamedia | Dnevnik and Večer | 2022-01-11 | 2022-01-13 | N | 700 | N/A | 0.1 | 28.5 | 12.3 | 8.0 | 21.4 | N/A | 8.3 | 6.3 | N/A | N/A | N/A | 1.9 | N/A | N/A | N/A | 2.2 | N/A | 3.8 | N/A | N/A | N/A | N/A | 5.2
Parsifal | Planet TV | 2022-01-04 | 2022-01-06 | N | 734 | N/A | 0.1 | 31.9 | 9.0 | 4.8 | 12.0 | N/A | 8.8 | 2.3 | 2.7 | 3.4 | N/A | 2.3 | 1.7 | N/A | 4.2 | 2.1 | 0.4 | 12.6 | 0.6 | N/A | N/A | N/A | N/A
Mediana | RTV SLO | 2021-12-27 | 2021-12-29 | N | 1007 | N/A | 0.1 | 26.0 | 10.0 | 8.1 | 18.3 | N/A | 6.8 | 5.8 | 2.1 | 2.2 | 2.8 | 4.9 | 2.8 | 3.5 | N/A | N/A | N/A | N/A | 1.2 | N/A | N/A | N/A | 5.5
